primary_label,s3_key
Espadarana prosoblepon,data/audio_specs/134933/iNat1160199_chunk_12.npy
Boana boans,data/audio_specs/555086/XC882689_chunk_0.npy
Engystomops pustulosus,data/audio_specs/65448/iNat687625_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat207088_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat181697_chunk_1.npy
Procyon lotor,data/audio_specs/41663/iNat246272_chunk_1.npy
Allobates femoralis,data/audio_specs/21211/XC913976_chunk_0.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat50345_chunk_3.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC257914_chunk_2.npy
Allobates femoralis,data/audio_specs/21211/XC882659_chunk_4.npy
Trachycephalus typhonius,data/audio_specs/67252/XC883000_chunk_6.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882994_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC639264_chunk_7.npy
Rhinella horribilis,data/audio_specs/517119/iNat106438_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC779660_chunk_0.npy
Puma concolor,data/audio_specs/42007/iNat878627_chunk_3.npy
Leptodactylus fuscus,data/audio_specs/22973/XC167037_chunk_1.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC817237_chunk_1.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat150110_chunk_4.npy
Dendropsophus ebraccatus,data/audio_specs/65349/iNat418798_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1276383_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat925724_chunk_7.npy
Falco sparverius,data/audio_specs/amekes/XC253951_chunk_5.npy
Rhinella horribilis,data/audio_specs/517119/iNat586526_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882797_chunk_12.npy
Engystomops pustulosus,data/audio_specs/65448/iNat441283_chunk_3.npy
Puma concolor,data/audio_specs/42007/iNat878627_chunk_10.npy
Falco sparverius,data/audio_specs/amekes/XC362105_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC391843_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat322031_chunk_24.npy
Procyon lotor,data/audio_specs/41663/iNat1143361_chunk_4.npy
Procyon lotor,data/audio_specs/41663/iNat290712_chunk_4.npy
Panthera onca,data/audio_specs/41970/XC564865_chunk_18.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat1255549_chunk_5.npy
Falco sparverius,data/audio_specs/amekes/XC289032_chunk_6.npy
Engystomops pustulosus,data/audio_specs/65448/iNat313927_chunk_1.npy
Scinax ruber,data/audio_specs/24322/XC882878_chunk_28.npy
Procyon lotor,data/audio_specs/41663/iNat246272_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC416142_chunk_15.npy
Procyon lotor,data/audio_specs/41663/iNat853280_chunk_13.npy
Falco sparverius,data/audio_specs/amekes/XC418891_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC289032_chunk_13.npy
Leptodactylus insularum,data/audio_specs/126247/iNat888527_chunk_0.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat687624_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/XC892927_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/XC892927_chunk_5.npy
Puma concolor,data/audio_specs/42007/iNat606214_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC399014_chunk_7.npy
Alouatta seniculus,data/audio_specs/566513/iNat860046_chunk_3.npy
Falco sparverius,data/audio_specs/amekes/XC308302_chunk_2.npy
Trachycephalus typhonius,data/audio_specs/67252/XC883000_chunk_12.npy
Boana boans,data/audio_specs/555086/XC882684_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat29017_chunk_10.npy
Procyon lotor,data/audio_specs/41663/iNat1143361_chunk_15.npy
Engystomops pustulosus,data/audio_specs/65448/iNat624692_chunk_3.npy
Rhinella horribilis,data/audio_specs/517119/iNat402787_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat634671_chunk_2.npy
Procyon lotor,data/audio_specs/41663/iNat1104877_chunk_1.npy
Pristimantis bogotensis,data/audio_specs/66578/iNat223502_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat630711_chunk_1.npy
Leptodactylus savagei,data/audio_specs/65962/iNat943127_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/XC882657_chunk_24.npy
Falco sparverius,data/audio_specs/amekes/XC138718_chunk_6.npy
Procyon lotor,data/audio_specs/41663/iNat565773_chunk_49.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat983570_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC362208_chunk_22.npy
Falco sparverius,data/audio_specs/amekes/XC420473_chunk_0.npy
Rhinella horribilis,data/audio_specs/517119/iNat593885_chunk_1.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_5.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC550401_chunk_1.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat630710_chunk_19.npy
Falco sparverius,data/audio_specs/amekes/XC598756_chunk_18.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat630710_chunk_13.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882794_chunk_11.npy
Alouatta seniculus,data/audio_specs/566513/iNat887872_chunk_0.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882988_chunk_3.npy
Panthera onca,data/audio_specs/41970/XC564871_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat200657_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat1240392_chunk_3.npy
Falco sparverius,data/audio_specs/amekes/XC593310_chunk_0.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1220655_chunk_6.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC550265_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_22.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_20.npy
Procyon lotor,data/audio_specs/41663/iNat1026967_chunk_3.npy
Leucostethus fraterdanieli,data/audio_specs/787625/iNat46261_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC416142_chunk_2.npy
Espadarana prosoblepon,data/audio_specs/134933/iNat859408_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat778295_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC254589_chunk_13.npy
Falco sparverius,data/audio_specs/amekes/XC304798_chunk_13.npy
Panthera onca,data/audio_specs/41970/XC564885_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/XC882655_chunk_12.npy
Procyon lotor,data/audio_specs/41663/iNat358212_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat38915_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat70154_chunk_3.npy
Rhinella horribilis,data/audio_specs/517119/iNat100151_chunk_13.npy
Boana boans,data/audio_specs/555086/XC882685_chunk_14.npy
Dendropsophus bogerti,data/audio_specs/65336/iNat1193440_chunk_4.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1200333_chunk_0.npy
Rhinella horribilis,data/audio_specs/517119/iNat19348_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC598753_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat382025_chunk_15.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC745507_chunk_5.npy
Allobates femoralis,data/audio_specs/21211/XC928710_chunk_1.npy
Dendropsophus columbianus,data/audio_specs/65344/iNat1211725_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat287461_chunk_4.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat585061_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/XC882653_chunk_3.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC582046_chunk_3.npy
Allobates femoralis,data/audio_specs/21211/XC913886_chunk_1.npy
Boana pugnax,data/audio_specs/555142/iNat337414_chunk_2.npy
Procyon lotor,data/audio_specs/41663/iNat290712_chunk_0.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882798_chunk_24.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat630710_chunk_36.npy
